source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
2201375,"#FarmLawsRepealed

👉Farmers celebrate at Delhi borders

👉Farmers win, Terrorist Godi Media loses

👉Government's Godi media proven ineffective &amp; irrelevant

 👉Era of #Verified Independent Media begins

#FarmersProtest https://t.co/MMIINDnCSz",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4585}, {'text': 'repealed', 'score': 0.3767}, {'text': 'media', 'score': 0.2399}]"
108972,"BIG NEWS

Supreme Court Hearing on #FarmersProtests 

1. Congress favors Committee formation
2. Modi Govt defends the Farm laws
3. @ArvindKejriwal Govt Strongly raise issues of Farmers

AAP has been fighting for the rights of Farmers
Delhi Govt is with Farmers

Watch Below report https://t.co/AlnZSSKaQo",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4877}, {'text': 'protests', 'score': 0.3686}, {'text': 'hearing', 'score': 0.0722}]"
3155138,"‘The only way to stop #ModiGovt’s diabolical conspiracy from bringing back #farmlaws is to decisively defeat #BJP in #assemblyelections,’ chief spokesperson of #Congress #RandeepSurjewala said https://t.co/NDC53DAku1",Pro OPP,pro opposition,farm laws,"[{'text': 'conspiracy', 'score': 0.4011}, {'text': 'stop', 'score': 0.3134}, {'text': 'farm', 'score': 0.2258}]"
3663367,"Rakesh Tikait could not answer questions on Farm Laws, resorts to personal attacks on anchor Rubika Liyaquat
https://t.co/zKEYSYXhPF",Pro Ruling,pro ruling,farm laws,"[{'text': 'farm', 'score': 0.3118}, {'text': 'not', 'score': 0.2167}, {'text': 'attacks', 'score': 0.2024}]"
2002297,"I urge GOI to reopen Kartarpur Corridor, to create a new Darshan Asthan for khule darshan didar for all and to cancel the 3 farm laws on Shri Guru Nanak’s Gurpurab, as its a day for reflection, rediscovery and reiteration of Gurus message of peace, harmony &amp; universal brotherhood https://t.co/7iZ9hcsl2g",Pro OPP,pro opposition,farm laws,"[{'text': 'darshan', 'score': 0.5481}, {'text': 'reopen', 'score': 0.4032}, {'text': 'corridor', 'score': 0.3172}]"
4067603,"The Lok Sabha passed the bill to repeal the three farm laws on Monday, in the same manner in which it brought the laws – without discussion.

Earlier in the day, PM had told the press, ""The government is ready to debate any issue and answer any question.""

https://t.co/NwXaDCGFSg",Pro OPP,pro opposition,farm laws,"[{'text': 'bill', 'score': 0.334}, {'text': 'farm', 'score': 0.3243}, {'text': 'monday', 'score': 0.2255}]"
247238,"‘Hum Pichhli shatabdi ke kanoon se nay shatabdi nahin bana sakte..’ Listen carefully to what PM @narendramodi said today. Not only is roll back of farm laws not going to happen, it seems next few years will see some definitive reforms being rolled out .  https://t.co/neKkUqGPcT",Pro Ruling,pro ruling,farm laws,"[{'text': 'reforms', 'score': 0.5775}, {'text': 'farm', 'score': 0.4469}, {'text': 'narendramodi', 'score': 0.3118}]"
103696,"Amarinder Singh acting as BJP chief minister, colluding with Centre on farm laws, AAP says

ThePrint's Neelam Pandey @NPDay reports

https://t.co/UjIkwPfDBM",Pro OPP,pro opposition,farm laws,"[{'text': 'minister', 'score': 0.4302}, {'text': 'farm', 'score': 0.3663}, {'text': 'theprint', 'score': -0.0039}]"
4804739,"Supplies for #FarmersProtests ! Let me remind u @PMOIndia, that no way in hell, r farmers backing down, against their fight with your #FarmLaws. Be rationale, step back,    repeal #FarmLaws, &amp; salvage, what little image you have left, else u will end up with nothing in your hand. https://t.co/MipNJzLQmn",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5496}, {'text': 'protests', 'score': 0.3837}, {'text': 'back', 'score': 0.211}]"
2794154,"Farmers at Jantar Mantar ! 200 farmers from 40 farm unions, will protest daily against the #FarmLaws during the monsoon session #FarmerProtests 

550+Farmers have sacrifices their life since 26'th Nov 2020 ! @PMOIndia or any minister from BJP has not acknowledged these sacrifices https://t.co/WW36YNuHG1",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5603}, {'text': 'protests', 'score': 0.3099}, {'text': '2020', 'score': 0.1561}]"
3035647,"#GaddarBJPArnab

Arnab knew about Balakot strike. 
Crony capitalist pals must have known about DeMo disaster &amp; GST, like they certainly knew about Modi's Farm Laws gifting them India's agri sector. 

This regime works for the highest bidder against the nation. https://t.co/rOs4JuffOx",Pro OPP,pro opposition,farm laws,"[{'text': 'regime', 'score': 0.4151}, {'text': 'farm', 'score': 0.251}, {'text': 'highest', 'score': 0.1176}]"
758259,"Farmers - Govt meet over 

Sources : 

Next meet on January 4th 

#FarmLaws 
#FarmersProtest https://t.co/xHY2A1F3Nn",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.546}, {'text': 'protest', 'score': 0.2663}, {'text': 'january', 'score': 0.2172}]"
113758,Farmers thanking Kangana ji for her views regarding #FarmersProtests at #Singhu Border ! #Delhi #FarmersProtests #FarmLaws https://t.co/mN26GJOcvC,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5367}, {'text': 'thanking', 'score': 0.3539}, {'text': 'protests', 'score': 0.226}]"
2845196,"To protest against Police lathicharge &amp; arrest of of farmers in Hisar, farmers have stopped GT Road from 5P.M~7 PM !

Here, at Shambhu Border an Army Officer is being given way ; instead of instigating farmers @mlkhattar, why don't you request @PMOIndia to take back #FarmLaws ! https://t.co/Yo5Cqb3Wug",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4481}, {'text': 'arrest', 'score': 0.3375}, {'text': '5p', 'score': 0.1637}]"
2048124,Maharashtra farmers marching from Nasik to Mumbai against the farm laws &amp; in support of the protesting farmers around Delhi. Yet Govt says that all farmers outside Punjab are supporting govt https://t.co/z1UPbs6Bkd,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5357}, {'text': 'mumbai', 'score': 0.3905}, {'text': 'protesting', 'score': 0.2588}]"
4991014,"The protesting farmers wrote to PM Modi seeking his intervention in resuming the stalled dialogue with the government on the three contentious farm laws and warning of an intensification of their agitation if there was no response by May 25.

https://t.co/6BRVNqF11E",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5137}, {'text': 'protesting', 'score': 0.4025}, {'text': 'resuming', 'score': 0.1765}]"
2765398,"""When the government wants to talk, the Samyukta Kisan Morcha will talk.""

.@RakeshTikaitBKU on Sunday said farmer unions were ready to resume talks with the Centre, asserting that the discussion would have to be about repealing the new farm laws.

https://t.co/SlRlox7awt",Pro OPP,pro opposition,farm laws,"[{'text': 'talks', 'score': 0.4712}, {'text': 'farmer', 'score': 0.3917}, {'text': 'repealing', 'score': 0.2664}]"
4069463,"This is how farmers r chasing BJP office bearers out of their villages, this is how much the farmers r agitated vis a vis the #FarmLaws !

Haven't seen such disdain for any political party in my lifetime, and this contempt, is what BJP deserves, for bringing such regressive laws. https://t.co/lKyPzx0bd7",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4497}, {'text': 'party', 'score': 0.2604}, {'text': 'office', 'score': 0.0556}]"
