source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
504148,"China is a virus. Chinese are the carrier's. They are trying to test our patience by trying to intrude Ladakh territories.

I hope we remind them soon that our Army is upgraded and the PMO now has Modi. Necessary instructions can and will be given. #ThokDo #ChinaVirus",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.637}, {'text': 'virus', 'score': 0.3898}, {'text': 'army', 'score': 0.1566}]"
219221,"The way 'Light A Lamp' in April has kept Corona away, this time it will keep China away! https://t.co/fbMMOoI6SH via @ndtv",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5488}, {'text': 'lamp', 'score': 0.437}, {'text': 'away', 'score': 0.3289}]"
291690,"Why is the China's revision of COVID numbers a news worry item? I mean they can revise it a zillion time for reason that only they know. 

Who on planet earth is willing to believe what numbers they are throwing? Why would anyone believe? And why should anyone believe?",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4052}, {'text': 'numbers', 'score': 0.3356}, {'text': 'worry', 'score': 0.174}]"
6298852,"38 Chinese army fatalities mean #China lost almost double the number of soldiers. Russian agency said 44 Chinese fatalities. Shiv Shankar Menon,NSA during UPA has written China it seems has not achieved its aim (That would mean Xi Jinping failed &amp; PLA would now be more desperate)",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4768}, {'text': 'fatalities', 'score': 0.4624}, {'text': 'army', 'score': 0.2619}]"
1284588,"CKMKB, chahe isko China samjho ya Congress, baat ek hi hai eventually",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.6376}, {'text': 'congress', 'score': 0.3684}, {'text': 'ckmkb', 'score': 0.3598}]"
532910,"The number of journalists, opposition leaders &amp; sundry others making snide remarks about India’s #China strategy must delight the ruthless &amp; toxic Chinese. #chinaindiaborder",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.6239}, {'text': 'journalists', 'score': 0.3725}, {'text': 'toxic', 'score': 0.1873}]"
466357,"India hits back at China! Had China followed what was decided by commanders on June 6 then this violence could have been avoided. Breaking on @IndiaToday (india calls out China's lies). China's lies, deceiit and treachery: our top focus on #IndiaFirst at 10 pm.",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5377}, {'text': 'indiatoday', 'score': 0.4739}, {'text': 'treachery', 'score': 0.0264}]"
814793,"On this day in 1962, India airlifted tanks to Chushul in Ladakh to halt the invading Chinese Army. In August this year, the Indian Army occupied dominating heights in the same sector to preempt China.

Behind India’s actions in August, lessons from 1962.

https://t.co/jFKiVN0bfQ",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4841}, {'text': 'india', 'score': 0.4629}, {'text': 'airlifted', 'score': 0.3622}]"
504575,"“Chinese army is full of wimps, sissies &amp; little emperors. We are not saying this. This is what China thinks”.

PLA has not won a war in 6 decades. In 1979, Vietnam took off PLA’s trousers. 

Remember...economic might is not military might.  https://t.co/h7Kleup0JE",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.6205}, {'text': 'army', 'score': 0.3313}, {'text': 'remember', 'score': 0.2009}]"
2268798,China has still not officially admitted to facing massive casualties in Galwan Valley crisis. Not even named killed Chinese soldiers. The Chinese soldiers sadly meet painful silent death without state recognition. No respect. No honour. Just humiliation. And paid propaganda. https://t.co/B8e6MIRh1q,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.494}, {'text': 'casualties', 'score': 0.3905}, {'text': 'silent', 'score': 0.1716}]"
7032684,When Gupta displays some journalistic integrity on #China “attacking India &amp; the Modi government at their weakest point. Our broken politics…. Modi and his government have to begin shoring up India’s defences.. by treating the opposition with respect…” https://t.co/jzGLibM2Pn,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.443}, {'text': 'journalistic', 'score': 0.3958}, {'text': 'defences', 'score': 0.2917}]"
6435275,"Beijing is Again going back into lockdown due to virus spread - CGTN.

China has reported 24,473 new “Ukraine Made, China Transmitted"" Virus Cases, up 105% from last week. It includes a record 515 cases in Beijing, according to health commission.

#karma",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5005}, {'text': 'virus', 'score': 0.4576}, {'text': 'lockdown', 'score': 0.2839}]"
1051223,Concede to China’s position and then use the valour of our soldiers to solicit votes. https://t.co/1BOg2JhDS1,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.493}, {'text': 'soldiers', 'score': 0.3603}, {'text': 'votes', 'score': 0.3499}]"
4363149,The US creates monsters and then the world has to deal with it just like China. Both the US and China are not disrupters but destroyers of peace globally.,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5046}, {'text': 'us', 'score': 0.4237}, {'text': 'disrupters', 'score': 0.1918}]"
6354261,EAM S Jaishankar giving strong reply to Rahul Gandhi on China https://t.co/r5FlD3aYrn,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4187}, {'text': 'jaishankar', 'score': 0.4075}, {'text': 'reply', 'score': 0.3464}]"
4130128,"How many square km Indian land is occupied by China? 

Kya bataya Defence Minister ne?",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.6089}, {'text': 'indian', 'score': 0.4157}, {'text': 'defence', 'score': 0.2342}]"
