original_author,year,opposition,other,ruling,polarity_yearly
AltNewsHindi,2021.0,774,47,9,-0.9770114942528736
AltNewsHindi,2022.0,213,7,1,-0.9906542056074766
AltNewsHindi,2023.0,91,7,0,-1.0
AmanChopra_,2020.0,37,14,235,0.7279411764705882
AmanChopra_,2021.0,137,767,7784,0.9654084080292892
AmanChopra_,2022.0,135,844,8107,0.9672409609318127
AmanChopra_,2023.0,47,237,2209,0.9583333333333334
AmanKayamHai_,2020.0,0,0,1,1.0
AmanKayamHai_,2021.0,109,25,524,0.655608214849921
AmanKayamHai_,2022.0,38,17,276,0.7579617834394905
AmanKayamHai_,2023.0,15,8,74,0.6629213483146067
AmanWadud,2020.0,73,3,0,-1.0
AmanWadud,2021.0,202,14,2,-0.9803921568627451
AmanWadud,2022.0,150,8,0,-1.0
AmanWadud,2023.0,9,1,0,-1.0
AmarUjalaNews,2020.0,520,42,548,0.026217228464419477
AmarUjalaNews,2021.0,562,76,410,-0.15637860082304528
AmarUjalaNews,2022.0,144,31,150,0.02040816326530612
AmarUjalaNews,2023.0,95,12,51,-0.3013698630136986
AmdavadAMC,2020.0,25,24,1338,0.9633162142333089
AmdavadAMC,2021.0,12,46,1028,0.9769230769230769
AmdavadAMC,2022.0,3,22,660,0.9909502262443439
AmdavadAMC,2023.0,4,12,289,0.9726962457337884
AmitShahOffice,2020.0,68,63,2493,0.9468957438500586
AmitShahOffice,2021.0,250,1247,14908,0.9670141179575141
AmitShahOffice,2022.0,129,1322,12314,0.9792654504540705
AmitShahOffice,2023.0,118,600,8159,0.9714872538359309
Amitjanhit,2020.0,1356,16,5,-0.9926524614254225
Amitjanhit,2021.0,3228,86,36,-0.9779411764705882
Amitjanhit,2022.0,1319,79,9,-0.9864457831325302
Amitjanhit,2023.0,33,1,0,-1.0
Anand_Dasa88,2020.0,129,3,0,-1.0
Anand_Dasa88,2021.0,867,53,0,-1.0
Anand_Dasa88,2022.0,1303,147,2,-0.9969348659003832
Anand_Dasa88,2023.0,670,89,2,-0.9940476190476191
Aneela_7,2020.0,488,8,4,-0.983739837398374
Aneela_7,2021.0,402,14,1,-0.9950372208436724
Aneela_7,2022.0,110,6,0,-1.0
Aneela_7,2023.0,9,0,0,-1.0
AninBanerjee,2020.0,4,0,24,0.7142857142857143
AninBanerjee,2021.0,28,27,462,0.8857142857142857
AninBanerjee,2022.0,0,5,78,1.0
AninBanerjee,2023.0,1,1,6,0.7142857142857143
AnumaVidisha,2020.0,3062,113,121,-0.9239710964498901
AnumaVidisha,2021.0,8888,1082,141,-0.9687673053494296
AnumaVidisha,2022.0,8657,1983,44,-0.9898862199747156
AnumaVidisha,2023.0,2964,334,4,-0.9973045822102425
AnupamPKher,2020.0,215,152,3599,0.8872574724698479
AnupamPKher,2021.0,164,220,2982,0.8957406230133503
AnupamPKher,2022.0,97,292,2462,0.924189136381399
AnupamPKher,2023.0,25,61,404,0.8834498834498834
AnupamkPandey,2020.0,17,13,289,0.8888888888888888
AnupamkPandey,2021.0,31,18,511,0.8856088560885609
AnupamkPandey,2022.0,0,4,108,1.0
AnupamkPandey,2023.0,0,0,24,1.0
Anurag_Dwary,2020.0,508,20,25,-0.9061913696060038
Anurag_Dwary,2021.0,1653,60,19,-0.9772727272727273
Anurag_Dwary,2022.0,1065,41,16,-0.9703977798334875
Anurag_Dwary,2023.0,323,17,10,-0.93993993993994
AparBharat,2020.0,64,10,583,0.8021638330757341
AparBharat,2021.0,35,16,1458,0.9531145344943067
AparBharat,2022.0,35,9,1028,0.9341486359360301
AparBharat,2023.0,9,16,137,0.8767123287671232
Arun2981,2020.0,1121,28,9,-0.984070796460177
Arun2981,2021.0,3490,156,48,-0.9728660260033918
Arun2981,2022.0,2725,208,33,-0.9760696156635243
Arun2981,2023.0,562,37,15,-0.9480069324090121
ArunAnandLive,2020.0,0,0,40,1.0
ArunAnandLive,2021.0,0,0,64,1.0
ArunAnandLive,2022.0,0,0,60,1.0
ArunAnandLive,2023.0,0,0,8,1.0
ArvinderSoin,2020.0,38,3,49,0.12643678160919541
ArvinderSoin,2021.0,440,65,306,-0.17962466487935658
ArvinderSoin,2022.0,50,6,26,-0.3157894736842105
ArvinderSoin,2023.0,1,1,2,0.3333333333333333
AsYouNotWish,2020.0,36,45,1058,0.9341864716636198
AsYouNotWish,2021.0,33,16,2764,0.9764032892384698
AsYouNotWish,2022.0,8,15,1233,0.9871071716357775
AsYouNotWish,2023.0,7,5,472,0.9707724425887265
AshishSinghLIVE,2020.0,1606,108,118,-0.8631090487238979
AshishSinghLIVE,2021.0,2192,218,144,-0.8767123287671232
AshishSinghLIVE,2022.0,781,100,79,-0.8162790697674419
AshishSinghLIVE,2023.0,116,20,26,-0.6338028169014085
AshokShrivasta6,2020.0,26,128,2379,0.9783783783783784
AshokShrivasta6,2021.0,106,575,8835,0.97628900570406
AshokShrivasta6,2022.0,49,454,6453,0.9849277145493694
AshokShrivasta6,2023.0,15,116,1233,0.9759615384615384
Ashok_Kashmir,2020.0,1273,108,11,-0.9828660436137072
Ashok_Kashmir,2021.0,5924,584,73,-0.9756544939136235
Ashok_Kashmir,2022.0,11963,1743,267,-0.9563368765331153
Ashok_Kashmir,2023.0,4777,706,127,-0.9482055464926591
AshrafFem,2020.0,910,13,1,-0.9978046103183315
AshrafFem,2021.0,1740,401,41,-0.9539584503088153
AshrafFem,2022.0,1508,189,29,-0.9622641509433962
AshrafFem,2023.0,475,26,13,-0.9467213114754098
AshwiniBhide,2020.0,17,26,33,0.32
AshwiniBhide,2021.0,23,77,12,-0.3142857142857143
AshwiniBhide,2022.0,10,26,53,0.6825396825396826
AshwiniBhide,2023.0,1,18,21,0.9090909090909091
AshwiniUpadhyay,2020.0,0,2,46,1.0
AshwiniUpadhyay,2021.0,131,681,8288,0.9688799144791543
AshwiniUpadhyay,2022.0,291,1279,11741,0.9516289893617021
AshwiniUpadhyay,2023.0,46,495,2600,0.9652305366591081
AskAnshul,2020.0,61,126,3475,0.9654977375565611
AskAnshul,2021.0,96,243,8230,0.9769397069421091
AskAnshul,2022.0,98,669,10066,0.9807162534435262
AskAnshul,2023.0,38,212,2215,0.9662671992898357
Asthakaushik05,2020.0,104,102,830,0.7773019271948608
Asthakaushik05,2021.0,133,268,2242,0.888
Asthakaushik05,2022.0,3,11,97,0.94
AudaciousQuest_,2020.0,1364,22,4,-0.9941520467836257
