original_author,polarity_avg,label_0_5
HarshadaSwakul,-0.9932432432432432,Pro OPP
HashTagCricket,0.9400755858003988,Pro Ruling
HemanNamo,0.9748797245565113,Pro Ruling
HeritageTimesIN,-0.975,Pro OPP
HinduEcosystem_,0.9448996594862036,Pro Ruling
HinduITCell,0.9834351327768469,Pro Ruling
HindustaniTweet,0.9839958925588848,Pro Ruling
HistoryCell,-0.9800258557941965,Pro OPP
IAF_MCC,0.8195513319948161,Pro Ruling
IASassociation,0.2255800792303339,Neutral
IAbhay_Pratap,0.9802335961453169,Pro Ruling
IBC24News,-0.43642484176641716,Neutral
IFazilaBaloch,0.9304605248879563,Pro Ruling
IMinakshiJoshi,0.8147004858664519,Pro Ruling
INCTharoorian,-0.9992469879518072,Pro OPP
IPRD_Bihar,0.8616857873513328,Pro Ruling
ITBP_official,0.8874160811365165,Pro Ruling
IamNaveenKapoor,0.7092749058965593,Pro Ruling
IasAlok,0.7711397058823529,Pro Ruling
ImRaina,0.4659903315198566,Neutral
IncomeTaxIndia,0.9355273378726985,Pro Ruling
IndiaAheadNews,0.009764191414848133,Neutral
IndiaHistorypic,0.010622175440932703,Neutral
IndiaNewsUP_UK,0.47472848788638267,Neutral
IndiaSports,0.9458056478405316,Pro Ruling
IndiaTVHindi,0.3663744645078419,Neutral
IndiaToday,-0.3993015645794783,Neutral
Indiametdept,0.6620290643702389,Pro Ruling
IndianExpress,-0.5544949359634808,Pro OPP
IndianFootball,-0.039338316670868845,Neutral
IndianSinghh,0.9510683525746747,Pro Ruling
IndianTechGuide,0.8443774733637747,Pro Ruling
IndiasMuslims,-1.0,Pro OPP
InfoDeptUP,0.9594092830590688,Pro Ruling
InfoDivPune,-0.2976355058152293,Neutral
InfoNashik,-0.26900235538679473,Neutral
InfoVidarbha,-0.18217988907644084,Neutral
Info_Pune,-0.11650249800509735,Neutral
Interceptors,0.44551830662917613,Neutral
InvestInUp,0.8790093048713739,Pro Ruling
Iyervval,0.885484477980268,Pro Ruling
JagranNews,0.1550619986371839,Neutral
JaiMaharashtraN,0.0865196243639221,Neutral
JaipurDialogues,0.9845771294818891,Pro Ruling
JansamparkMP,0.05064565736118479,Neutral
Jansatta,-0.7450641645872588,Pro OPP
JantaKaReporter,-0.8399373715705344,Pro OPP
JatinPaul,0.2628923364217482,Neutral
Javedakhtarjadu,-0.7820776713706746,Pro OPP
JournoAshutosh,-0.9540711848636417,Pro OPP
Joydas,-0.9584640315552173,Pro OPP
KBByju,-0.9978767672288829,Pro OPP
KanchanGupta,0.9256948816330413,Pro Ruling
KanganaTeam,0.9535884124211377,Pro Ruling
KanoongoPriyank,0.8549937904847243,Pro Ruling
KashifKakvi,-0.984320835613939,Pro OPP
KashishBihar,0.16441366639447524,Neutral
Kaur0211,-0.9980544747081712,Pro OPP
Khushi9595,-0.7170534130112266,Pro OPP
KiranKS,0.8982161817396035,Pro Ruling
Kisanektamorcha,-0.9619780284231197,Pro OPP
KotaNeelima,-0.9933915358488123,Pro OPP
KotwalMeena,-0.9156978064832285,Pro OPP
KreatelyMedia,0.9635576166747187,Pro Ruling
KumarVikrantS,-0.9935907526825298,Pro OPP
Kush_voice,-0.9432085943529881,Pro OPP
LGov_Puducherry,0.8435892637626125,Pro Ruling
LabourMinistry,0.9338746902895156,Pro Ruling
Liberal_India1,-0.998948499520986,Pro OPP
LicypriyaK,-0.7992594906995921,Pro OPP
LiveAdalat,0.9712643678160919,Pro Ruling
LiveLawIndia,-0.5514877317097768,Pro OPP
Live_Hindustan,-0.021815935253725594,Neutral
LokSabhaSectt,0.8779797364731888,Pro Ruling
LoksattaLive,-0.41999447572247245,Neutral
LostTemple7,0.931044703125062,Pro Ruling
LutyensMediaIN,-0.9780589112867448,Pro OPP
MANJULtoons,-0.9084592747287087,Pro OPP
MDoNER_India,0.8841919351848304,Pro Ruling
MEAIndia,0.9533384322910627,Pro Ruling
MIB_Hindi,0.9595762815049312,Pro Ruling
MIB_India,0.9609899863093918,Pro Ruling
MOFPI_GOI,0.9603279087213686,Pro Ruling
MSJEGOI,0.7716705981737284,Pro Ruling
MahaDGIPR,-0.23063300532499764,Neutral
MahaGovtMic,-0.3074829119433399,Neutral
MahaMicHindi,-0.246134817563389,Neutral
MajorPoonia,0.9469342710152779,Pro Ruling
ManMundra,0.8960845968007861,Pro Ruling
MarathiRT,-0.27623701092629604,Neutral
Marathi_Rash,-0.9794189302278268,Pro OPP
MaxMaharashtra,-0.8321058293171412,Pro OPP
MayaramArvind,-0.9291621094845477,Pro OPP
MediaHarshVT,0.973463808610655,Pro Ruling
Media_SAI,0.9589374092710848,Pro Ruling
MeghBulletin,0.9072440051535489,Pro Ruling
MeghUpdates,0.8360147092626745,Pro Ruling
Memeghnad,-0.963927200992184,Pro OPP
MiLOKMAT,-0.414955141262085,Neutral
MickyGupta84,-0.8165901438628711,Pro OPP
MihirkJha,0.9724187514873117,Pro Ruling
Millat_Times,-0.9793345543345543,Pro OPP
MinOfCultureGoI,0.9605998242164752,Pro Ruling
MinhazMerchant,0.9439252534665815,Pro Ruling
MinisterKTR,-0.9904203253462495,Pro OPP
MinistryWCD,0.830683496070493,Pro Ruling
MirrorNow,-0.2913626297801019,Neutral
Mithileshdhar,-0.7591913749564612,Pro OPP
MoHFW_INDIA,0.9412976916517795,Pro Ruling
MoJSDoWRRDGR,0.8904636580756362,Pro Ruling
MoRD_GOI,0.9656622688151647,Pro Ruling
ModiBharosa,0.9662313777415943,Pro Ruling
ModiLeDubega,-0.9907647019327301,Pro OPP
MrSinha_,0.9796029224206704,Pro Ruling
MrinalPande1,-0.8747094924339507,Pro OPP
MrityunjayUP,0.9758952328234176,Pro Ruling
Ms_Aflatoon,-0.850535211749023,Pro OPP
MukeshPathakji,0.9659729315628192,Pro Ruling
Mukesh_Journo,-0.4998424490687732,Neutral
Mukeshias,0.9847111613996747,Pro Ruling
MumbaiMirror,-0.5366976372870416,Pro OPP
MumbaiPolice,-0.5293149470478146,Pro OPP
MumbaichaDon,0.990765179325274,Pro Ruling
NBTDilli,-0.8185325459295172,Pro OPP
NENowNews,-0.5015322515322516,Pro OPP
NEWJplus,0.5441765174379611,Pro Ruling
NH_India,-0.9969773961681675,Pro OPP
NITIAayog,0.916028556909813,Pro Ruling
NadeemRamAli,-0.9829862124750645,Pro OPP
NagpurKaRajini,0.9095432167935589,Pro Ruling
NamoApp,0.9584770114942529,Pro Ruling
NargisBano_,-0.9646004650678326,Pro OPP
NavbharatTimes,0.0018666344245858169,Neutral
NavroopSingh_,0.1935053037167202,Neutral
NcAsthana,0.035457801006581496,Neutral
Neeraj_chopra1,0.09111460691976006,Neutral
NeetuGarg6,0.9707002109379019,Pro Ruling
NewIndianXpress,-0.3343570441093878,Neutral
News18Bihar,0.5421700454619397,Pro Ruling
News18India,0.18251909111381193,Neutral
News18Jharkhand,-0.14961622639917677,Neutral
News18Rajasthan,-0.37251620771148614,Neutral
News18TamilNadu,-0.32172310672875415,Neutral
