source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
4972620,Delhi's Lieutenant #Governor Anil Baijal has vetoed the Delhi Cabinet's decision on the appointment of special public prosecutors for handling the cases related to the agitation against the farm laws (Republic-Day violence cases) and has sent the file to the #President of India.,AdalatLive,Pro Ruling,pro ruling,farm laws,"[{'text': 'vetoed', 'score': 0.5012}, {'text': 'anil', 'score': 0.3442}, {'text': 'cabinet', 'score': 0.2627}]"
3672784,"‘Won’t allow BJP-RSS to organise any event until farm laws not scrapped’: RSS Blood donation camp cancelled in Punjab after ruckus by protestors

https://t.co/22vhD1owbH",OpIndia_com,Pro Ruling,pro ruling,farm laws,"[{'text': 'rss', 'score': 0.3936}, {'text': 'protestors', 'score': 0.1955}, {'text': 'blood', 'score': 0.1688}]"
333832,"We have not received any meeting invitation from Agriculture Minister yet. Farmers have decided they won't go back till govt takes back all 3 Farm laws. It will take more than a month to resolve all issues. Govt will come to us: Rakesh Tikait. (ANI)
https://t.co/Zs5PvOVY9J https://t.co/SpWFuHuUpA",JantaKaReporter,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4173}, {'text': 'meeting', 'score': 0.3128}, {'text': 'back', 'score': 0.2236}]"
3957938,"#200DaysOfFarmersProtest 
200 days done &amp; many more to come...
Farmers are all set for a prolonged protest until 3 Black Farm Laws Repealed

#FarmersProtest continues...",Kisanektamorcha,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4775}, {'text': 'until', 'score': 0.2801}, {'text': 'repealed', 'score': 0.2624}]"
1969262,"Even In Ninth Round of Talks Farmers Demand 

'REPEAL FARM LAWS'

#RepealFarmActsToday",Kisanektamorcha,Pro OPP,pro opposition,farm laws,"[{'text': 'farm', 'score': 0.5322}, {'text': 'repeal', 'score': 0.4054}, {'text': 'demand', 'score': 0.1517}]"
995289,"In 2011 Sharadrao Pawar so called kisan leader &amp; father of @supriya_sule wrote letter to CM @ChouhanShivraj and seek support for the same provision which are available in current farm laws. #Hypocrisy2
#ModiWithFarmers https://t.co/S2jYPNTiTS",thakkar_sameet,Pro Ruling,pro ruling,farm laws,"[{'text': 'sharadrao', 'score': 0.6133}, {'text': 'farmers', 'score': 0.4634}, {'text': 'hypocrisy', 'score': 0.3519}]"
1464402,"#FarmLaws
👇
Center is not meeting farm unions

Center is not allowing good trains into Punjab, which will effect wheat sowing 

Union ministers r not  giving appointment to Congress MP's

President is not meeting @capt_amarinder

&amp; then BJP claims to promote federal structure🙄",ramanmann1974,Pro OPP,pro opposition,farm laws,"[{'text': 'ministers', 'score': 0.3785}, {'text': 'unions', 'score': 0.3419}, {'text': 'wheat', 'score': 0.3357}]"
2726180,"Ahead of nationwide protest of the farmers on completion of six months of agitation against controversial farm laws, #Congress (@INCIndia) leader Jaiveer Shergill (@JaiveerShergill) on Tuesday alleged that #BJP's ego and arrogance is putting life of farmers in danger. https://t.co/4hsqPGAmQt",ians_india,Pro OPP,pro opposition,farm laws,"[{'text': 'arrogance', 'score': 0.4429}, {'text': 'farmers', 'score': 0.4084}, {'text': 'congress', 'score': 0.182}]"
1942969,"The seat fell vacant eight months ago after INLD MLA Abhay Chautala resigned to express solidarity with the farmers’ agitation against the three contentious farm laws.

https://t.co/id8ImjsaAh",IndianExpress,Pro OPP,pro opposition,farm laws,"[{'text': 'vacant', 'score': 0.461}, {'text': 'resigned', 'score': 0.4486}, {'text': 'farmers', 'score': 0.2191}]"
4540447,"Here's how the Pradhan Mantri Fasal Bima Yojana performed on various parameters as compared to erstwhile schemes:

#FarmBills2020 #FarmLaws2020 #Farmers https://t.co/ZYjlloTCf7",knowthenation,Pro Ruling,pro ruling,farm laws,"[{'text': 'schemes', 'score': 0.5713}, {'text': 'farmlaws2020', 'score': 0.4053}, {'text': 'bima', 'score': 0.3112}]"
